company_number,company_name,company_status,incorporation_date,sic_codes,registered_office_address,active_directors_over_50,company_type,companies_house_turnover,hmrc_turnover,last_accounts_date,category,vat_number
7483240,A & G CLEANING SERVICES LTD,active,2011-01-05,96090,"169 Campden Crescent, Dagenham, RM8 2SL, England","JURADO BASTIDAS, Ana Maria (Age: 57)",ltd,Not available,"£141,052,215.46",Not available,Cleaning,GB07483240
13234908,A& I CLEANING SERVICES LTD,active,2021-03-01,81210,"Flat 1 12 Ryland Street, Birmingham, B16 8BP, England","MBENGO, Apho (Age: 54)",ltd,Not available,"£98,804,684.94",Not available,Cleaning,GB13234908
14406528,A&J BUILDING AND CLEANING SERVICES LTD,active,2022-10-09,"43390, 43999, 81222, 81299","Flat 6 57 Burghley Road, Peterborough, PE1 2QA, England","SOJKO, Jerzy (Age: 63); WOJCIK, Anna (Age: 57); SOJKO, Jerzy (Age: 63)",ltd,Not available,"£662,257,792.72",Not available,Cleaning,GB14406528
12300208,A & J CLEANING SOLUTION LTD,active,2019-11-06,99999,"202 Cedars Road, Clapham, London, SW4 0PY, United Kingdom","LAWRENCE-LOYZA, Juliet (Age: 64); DENNIS, Andrea (Age: 51)",ltd,Not available,"£43,495,860.70",Not available,Cleaning,GB12300208
8728539,A & J PROPERTY CLEANING LIMITED,active,2013-10-11,96090,"Suite C Huntworth Way, North Petherton, Bridgwater, TA6 6FA, England","BALL, Jackie Kay (Age: 59); COLLINS, Alison Jayne (Age: 59)",ltd,Not available,"£37,089,595.38",Not available,Cleaning,GB08728539
15732957,A AND J WINDOW CLEANING LIMITED,active,2024-05-21,81221,"10 Endfield Road, Bournemouth, Dorset, BH9 1TH, United Kingdom","ARNOLD, Adrian (Age: 61); ARNOLD, Debra (Age: 62)",ltd,Not available,"£342,721,606.06",Not available,Cleaning,GB15732957
4538991,A & L CLEANING CONTRACTORS LIMITED,active,2002-09-18,81221,"Pod Business Centre, Harris Way, Sunbury-On-Thames, TW16 7EL, England","FAIRMINER, Alan Paul (Age: 64)",ltd,Not available,"£404,834,429.47",Not available,Cleaning,GB04538991
8137176,A AND L EVER READY CLEANING AND BUILDING MAINTENANCE SERVICES LTD,active,2012-07-10,81100,"13 Penrith Crescent, Rainham, Essex, RM13 7QB","SEBASTIEN, Lucky (Age: 51); SEBASTIEN, Lucky (Age: 51)",ltd,Not available,"£25,109,405.45",Not available,Cleaning,GB08137176
11812743,A&M CLEANING LTD,active,2019-02-07,"81210, 81221, 96010","20 Buckley Road, Leamington Spa, CV32 7QG, United Kingdom","MARCINKIEWICZ, Andrzej (Age: 54)",ltd,Not available,"£21,178,726.20",Not available,Cleaning,GB11812743
9910578,A & M CLEANING & TRANSPORT LTD,active,2015-12-10,49320,"Flat 28 Green Hundred Road, London, SE15 1RR, England","AVECILLAS MENDEZ, Rosa Cristina (Age: 59); GARCIA VERDEZOTO, Vicente Gerardo (Age: 61)",ltd,Not available,"£13,997,232.26",Not available,Cleaning,GB09910578
5508923,A & M INDUSTRIAL CLEANING LIMITED,active,2005-07-14,81210,"147 Station Road, North Chingford, London, E4 6AG","BARNETT, Andrew (Age: 59); WARNER, Michael Frank (Age: 68)",ltd,Not available,"£43,248,382.58",Not available,Cleaning,GB05508923
13681683,A&N CLEANING LTD,active,2021-10-15,81299,"Flat 1003 Amory Tower, 199 Marsh Wall, London, E14 9ZH, United Kingdom","DAVIDOV, Aleksandar Georgiev (Age: 52)",ltd,Not available,"£38,237,495.00",Not available,Cleaning,GB13681683
11009137,A&O CLEANING SERVICE LIMITED,active,2017-10-12,81299,"Lodge 1, Millbrook Garden Company, Staplehurst Road, Marden, Kent, TN12 9BT, England","MOLNAR, Oskar (Age: 52)",ltd,Not available,"£26,783,686.92",Not available,Cleaning,GB11009137
SC508358,A & P RENOVATIONS AND CLEANING SERVICES LTD,active,2015-06-15,96090,"61 Stewart Street, Barrhead, Glasgow, G78 1UZ, Scotland","ZAWICKA, Aneta (Age: 50)",ltd,Not available,"£48,273,797.74",Not available,Cleaning,GBSC508358
12848688,A&R BRILLIANT CLEANING LTD,active,2020-08-31,81210,"2 Deepfield Way, Coulsdon, CR5 2SY, England","BARZALLO CUESTA, Elvia Noemi (Age: 52)",ltd,Not available,"£126,300,561.27",Not available,Cleaning,GB12848688
12419883,A & R CLEANING LTD,active,2020-01-23,81210,"Flat 8, 1 Maud Chadburn Place, London, SW4 9DY, England","ASANTE, Richard (Age: 52)",ltd,Not available,"£17,969,457.43",Not available,Cleaning,GB12419883
11590717,A&R CLEANING AND RECRUITMENT SERVICES LTD,active,2018-09-26,78200,"15 Meynell Square, Leeds, LS11 9QA, England","FISHER, Robert Alan (Age: 56)",ltd,Not available,"£240,841,653.18",Not available,Cleaning,GB11590717
9223481,A & S CONTRACT CLEANING LIMITED,active,2014-09-17,81210,"Lymore Villa 162a London Road, Chesterton, Newcastle, Staffordshire, ST5 7JB, England","PERRY, Alison Jane (Age: 58); VENABLES, Suzanne (Age: 58)",ltd,Not available,"£5,718,926.56",Not available,Cleaning,GB09223481
9703311,A & S DRY CLEANING SERVICES LTD,active,2015-07-27,96010,"55a High Street, Dunmow, Essex, CM6 1AE, England","MORGAN, Adam Leslie (Age: 57); MORGAN, Sarah Anne (Age: 54)",ltd,Not available,"£9,393,708.87",Not available,Cleaning,GB09703311
12623840,A&S SEVENOAKS CLEANING AGENCY LTD,active,2020-05-26,81299,"9 West End, Kemsing, Sevenoaks, TN15 6PX, England","KERR-THOMSON, Andrea (Age: 62)",ltd,Not available,"£390,391,523.89",Not available,Cleaning,GB12623840
6626568,A&S WINDOW CLEANING SERVICES LIMITED,active,2008-06-23,81221,"235 Quinton Road, Harborne, Birmingham, West Midlands, B17 0RL","SHEPPARD, Dean (Age: 54)",ltd,Not available,"£2,080,172.48",Not available,Cleaning,GB06626568
10955876,A APPROVED CLEANING SERVICES LTD,active,2017-09-11,81210,"Caenant House, Mill Road, Caerphilly, CF83 3FE, Wales","JONES, Amanda Jane (Age: 55)",ltd,Not available,"£10,876,443.70",Not available,Cleaning,GB10955876
11136403,AA PROFESSIONAL CLEANING SOLUTIONS LTD,active,2018-01-08,81229,"108 Foundry Mill Street, Leeds, LS14 6DB, England","STOICA, Luminita Daniela (Age: 53)",ltd,Not available,"£219,223,365.22",Not available,Cleaning,GB11136403
15277934,AARON’S MR BIT GUTTER CLEANING LIMITED,active,2023-11-13,81222,"24 Lansing Close, Nottingham, NG11 9AR, England","DICKINSON, Aaron Jon (Age: 54)",ltd,Not available,"£296,438,368.81",Not available,Cleaning,GB15277934
16095514,A A TOP CLEANING LTD,active,2024-11-22,81299,"Flat 6 31 Cross Lances Road, Hounslow, TW3 2AD, England","MEDJKOUNE, Saadi (Age: 50)",ltd,Not available,"£387,021,065.83",Not available,Cleaning,GB16095514
14573759,ABA CLEANING SERVICES LTD,active,2023-01-05,81299,"54 Plumstead High Street, Plumstead, London, SE18 1SL, United Kingdom","AHMED, Ali (Age: 53)",ltd,Not available,"£144,588,989.47",Not available,Cleaning,GB14573759
6820362,ABACUS CLEANING EAST ANGLIA LTD,active,2009-02-16,81221,"C/O Mjb Avanti, Office 12 Epsilon House, West Road, Ipswich, Suffolk, IP3 9FJ, England","HURWORTH, Aderyn (Age: 50)",ltd,Not available,"£11,679,030.54",Not available,Cleaning,GB06820362
6127321,ABACUS CLEANING SERVICES LTD,active,2007-02-26,81299,"13 Kennet Close, Westhoughton, Bolton, Lancs, BL5 3EZ","HARRISON, Jane Margaret (Age: 59)",ltd,Not available,"£487,976,450.89",Not available,Cleaning,GB06127321
7413055,ABACUS COMMERCIAL CLEANING LTD,active,2010-10-20,81210,"Coleridge House, 5-7a Park Street, Slough, SL1 1PE","JOSEPH, Sue (Age: 53)",ltd,Not available,"£73,996,147.78",Not available,Cleaning,GB07413055
10616213,ABACUS WINDOW CLEANING LTD,active,2017-02-13,81221,"32 Cuckoo Crescent, Blackwater, Camberley, Surrey, GU17 0SB, England","KINSELLA, David Anthony (Age: 61); KINSELLA, Karen (Age: 57)",ltd,Not available,"£47,199,837.34",Not available,Cleaning,GB10616213
15172396,AB&M CLEANING LTD,active,2023-09-28,81222,"128 City Road, London, EC1V 2NX, United Kingdom","MIHALACHE, Angelica (Age: 50)",ltd,Not available,"£41,024,043.81",Not available,Cleaning,GB15172396
8106668,ABBACUSS CLEANING CONTRACTERS LIMITED,active,2012-06-15,81210,"40 Suddaby Close, Hull, HU9 3RG","TEAL, Michelle Donna (Age: 58); HORTON, David (Age: 81)",ltd,Not available,"£3,882,973.49",Not available,Cleaning,GB08106668
10761101,ABBA FATHER CLEANING & MAINTENANCE LTD,active,2017-05-09,"68310, 81299","Kemp House, 152 City Road, London, EC1V 2NX, England","OLAJIDE, Olawale (Age: 58)",ltd,Not available,"£3,845,941.88",Not available,Cleaning,GB10761101
2992893,ABBEY CLEANING LIMITED,active,1994-11-22,96090,"Abbey House, 21 Merridale Lane, Wolverhampton, WV3 9RD, England","JENKINS, John Stuart (Age: 58); STACEY, Peter John (Age: 77)",ltd,Not available,"£4,642,356.04",Not available,Cleaning,GB02992893
SC382736,ABBEY CLEANING COMMERCIAL SERVICES LIMITED,active,2010-07-28,81299,"16 Keillor Steadings, Kettins, Blairgowrie, Perthshire, PH13 9FT","BISSETT, Cheryl Dawn (Age: 51); MACDOUGALL, Naomi Vyse (Age: 55); MABBOTT, Stephen George (Age: 74)",ltd,Not available,"£24,979,009.65",Not available,Cleaning,GBSC382736
4455454,THE ABBEY CLEANING SERVICE LIMITED,active,2002-06-06,81210,"Treoda Home Farm Treoda Home Farm, Dyffryn St Nicholas, Cardiff, Vale Of Glamorgan, CF5 6SU, United Kingdom","BIRD, Linda Elizabeth (Age: 69)",ltd,Not available,"£13,553,779.29",Not available,Cleaning,GB04455454
9456447,ABBEY WINDOW CLEANING LIMITED,active,2015-02-24,81221,"38 Barony Way, Chester, CH4 7NP, England","HARDBATTLE, Richard Stuart (Age: 54); MILNER, Terrence (Age: 69)",ltd,Not available,"£4,710,426.31",Not available,Cleaning,GB09456447
6456182,ABBOTTS CONTRACT CLEANING SERVICES LTD,active,2007-12-18,81210,"124 Abbotts Road, Cheam, Surrey, SM3 9SX","BRUSH, Diane (Age: 73)",ltd,Not available,"£36,558,064.24",Not available,Cleaning,GB06456182
SC423333,ABBY CLEANING (SCOTLAND) LTD,active,2012-05-03,81210,"Pavilion 2 Finneston Business Park, Minerva Way, Glasgow, G3 8AU, Scotland","MAY, Robert James (Age: 51); CAIRNS, John (Age: 60)",ltd,Not available,"£32,866,343.65",Not available,Cleaning,GBSC423333
12754586,ABC BIN CLEANING LTD,active,2020-07-20,81222,"6 Mortimer Street, Derby, DE24 8FW, England","BROWN, David (Age: 75); BROWN, Jason (Age: 52); BROWN, Craige Steven (Age: 50); DAWSON, Stephen (Age: 65)",ltd,Not available,"£15,708,564.32",Not available,Cleaning,GB12754586
6852990,ABC CLEANING LIMITED,active,2009-03-19,81210,"84 Overbrook, Swindon, Wiltshire, SN3 6AS","BEDWELL, Stephen Ian (Age: 59); BEDWELL, Ian (Age: 59)",ltd,Not available,"£487,273,878.11",Not available,Cleaning,GB06852990
14507968,A B C CLEANING SERVICES (MIDLANDS) LTD,active,2022-11-26,81299,"94 Morley Road, Chaddesden, Derby, DE21 4QX, England","BROWN, Craige Steven (Age: 50); BROWN, Jason (Age: 52)",ltd,Not available,"£15,102,252.96",Not available,Cleaning,GB14507968
4715290,ABC CLEANING SERVICES (NORTH WEST) LIMITED,active,2003-03-28,81221,"38 Sweet Clough Drive, Burnley, Lancashire, BB12 6LY","PRICE, Christopher Richard (Age: 62); PRICE, Patricia Bernadette (Age: 60)",ltd,Not available,"£48,338,682.15",Not available,Cleaning,GB04715290
8176490,ABEE CLEANING LIMITED,active,2012-08-13,81299,"41 Kemp Road, Leicester, LE3 9PT, England","AHAMED RASLAN, Mohamed Rifkan (Age: 51)",ltd,Not available,"£804,670,242.66",Not available,Cleaning,GB08176490
13228479,ABEESO SECURITY AND CLEANING SERVICES LTD,active,2021-02-26,80100,"9 Mill Parade, Newport, NP20 2JQ, Wales","ABDULLAH, Yagoub Omar (Age: 57)",ltd,Not available,"£474,320,647.96",Not available,Cleaning,GB13228479
SC073480,ABERDEEN BLAST CLEANING SERVICES LIMITED,active,1980-12-18,43999,"Hillview Road, East Tullos Industrial Estate, Aberdeen, AB12 3HB, United Kingdom","ANDERSON, James (Age: 81); CLARK, Joseph Paul (Age: 67); MURRAY, Raymond Alexander Cassidy (Age: 69)",ltd,Not available,"£6,862,018.93",Not available,Cleaning,GBSC073480
SC293016,ABERDEEN CLEANING SERVICES LTD.,active,2005-11-10,82990,"31 Summer Street, Aberdeen, AB10 1SB","GRAVENSTEDE, Richard John James (Age: 74); GRAVENSTEDE, Sheila Brebner (Age: 68)",ltd,Not available,"£41,636,380.46",Not available,Cleaning,GBSC293016
SC417456,ABERDEENSHIRE GENERAL CLEANING SOLUTIONS LTD,active,2012-02-20,96090,"10 Main Street Sauchen, Inverurie, Aberdeenshire, AB51 7JU, United Kingdom","MABBOTT, Stephen George (Age: 74)",ltd,Not available,"£456,985,250.90",Not available,Cleaning,GBSC417456
8033739,ABIC CLEANING LIMITED,active,2012-04-17,81299,"35 Bouverie Square, Folkestone, Kent, CT20 1BA, England","COLAO, David Anthony William (Age: 70)",ltd,Not available,"£1,928,128.27",Not available,Cleaning,GB08033739
15571104,ABICHEM CONSTRUCTION AND CLEANING SERVICES LIMITED,active,2024-03-17,"41202, 81210","13 St. Giles House, St.Giles Road, London, SE5 7UD, United Kingdom","ADEOLA-COKER, Oluwakemi (Age: 55)",ltd,Not available,"£106,185,917.75",Not available,Cleaning,GB15571104
14904997,ABIK CLEANING SERVICES LTD,active,2023-05-31,81299,"88 Artizan Road, Northamton, NN1 4HS, England","BIKIM, Aynur (Age: 58)",ltd,Not available,"£149,059,892.58",Not available,Cleaning,GB14904997
7045160,ABIS CLEANING SERVICES LTD,active,2009-10-15,81210,"109 Coleman Road, Leicester, LE5 4LE","SOLOMONS, Ian David (Age: 68)",ltd,Not available,"£15,752,459.90",Not available,Cleaning,GB07045160
5657818,ABLE CLEANING LIMITED,active,2005-12-19,81299,"1 Oak Tree Walk, Keynsham, Bristol, BS31 2SA","THOMAS, Nigel Samuel (Age: 56)",ltd,Not available,"£967,913,692.53",Not available,Cleaning,GB05657818
12533695,ABLE CLEANING & HYGIENE SUPPLIES LTD,active,2020-03-25,46750,"Blenheim House 27-33 Threxton Road Industrial Esta, Watton, Thetford, Norfolk, IP25 6NG, United Kingdom","COOK, Heber Philip (Age: 52); COOK, Sarah (Age: 51)",ltd,Not available,"£9,206,109.33",Not available,Cleaning,GB12533695
13870559,ABM COMMERCIAL CLEANING LIMITED,active,2022-01-25,81222,"8 Plover Court, Mickleover, Derby, DE3 0UN, England","BEECROFT, Peter (Age: 62)",ltd,Not available,"£203,376,750.60",Not available,Cleaning,GB13870559
6254852,ABN CLEANING SERVICES LIMITED,active,2007-05-22,81221,"Gorran Haven, Trevellance Way, Watford, Herts, WD25 0LY, England","BIRCH, Brian Lawrence (Age: 69)",ltd,Not available,"£32,046,697.96",Not available,Cleaning,GB06254852
11569771,ABODE AND BEYOND CLEANING LTD,active,2018-09-14,81210,"The Old Post Office, 41-43 Market Place, Chippenham, Wiltshire, SN15 3HR, England","PARKINSON, Louise (Age: 51)",ltd,Not available,"£20,667,261.54",Not available,Cleaning,GB11569771
14588742,ABOS CLEANING SERVICES LTD,active,2023-01-12,81210,"Office 3323 321-323 High Road, Chadwell Heath, Essex, RM6 6AX, United Kingdom","ALI, Abukar Awow (Age: 57)",ltd,Not available,"£42,739,632.34",Not available,Cleaning,GB14588742
11499024,ABOUT CLEANING LTD,active,2018-08-03,81222,"78 Rochester Road, Gravesend, DA12 2HZ, United Kingdom","THOMAS, Gene Adam (Age: 50)",ltd,Not available,"£208,682,604.27",Not available,Cleaning,GB11499024
SC412449,ABOVE AND BEYOND CLEANING LTD,active,2011-12-01,81299,"3 Blyth Farm Road, Blyth Bridge, West Linton, Borders, EH46 7DG","GULLAN, Geoffrey (Age: 58); GULLAN, Melanie (Age: 59)",ltd,Not available,"£31,717,611.92",Not available,Cleaning,GBSC412449
15654388,ABOVE THE REST CLEANING LIMITED,active,2024-04-17,81210,"41 Church Street, Stapleford, Nottingham, NG9 8GA, England","STENNETT, Neal (Age: 58)",ltd,Not available,"£41,099,236.91",Not available,Cleaning,GB15654388
2436511,ABRIDGE CLEANING SERVICES LIMITED,active,1989-10-26,81210,"50 Seymour Street, London, W1H 7JG","WINCHESTER, Martin Joseph (Age: 56); BRIDGES, Barry Alfred Charles (Age: 76); BRIDGES, Nadeen (Age: 75); WINCHESTER, Albert Frederick Joseph (Age: 81); WINCHESTER, Audrey Ruth (Age: 81)",ltd,Not available,"£138,992,234.54",Not available,Cleaning,GB02436511
15589530,AB SERVICES247 LTD,active,2024-03-23,81299,"1 Peel Street, Coventry, West Midlands, CV6 5DU, United Kingdom","ABE, Ilesanmi Oluwambe (Age: 67)",ltd,Not available,"£126,115,061.68",Not available,Cleaning,GB15589530
8982688,ABSOLUTE BRILLIANCE CLEANING LTD,active,2014-04-07,82990,"242/242a Farnham Road, Slough, Berks, SL1 4XE","BURGESS, Angela Noreen (Age: 64); BURGESS, Steven (Age: 66)",ltd,Not available,"£25,224,417.10",Not available,Cleaning,GB08982688
5373724,ABSOLUTE CLEANING CONTRACTORS LIMITED,active,2005-02-23,81222,"16 Smithills Dean Road, Bolton, Lancashire, BL1 6JN","HINDRY, Ross (Age: 70)",ltd,Not available,"£24,124,315.74",Not available,Cleaning,GB05373724
6407177,ABSOLUTE CLEANING SERVICES UK LIMITED,active,2007-10-23,81299,"Ryecroft Cottage Main Road, Haltham, Horncastle, Lincolnshire, LN9 6JE, England","BAKER, Katy Emma (Age: 51); SMITH, Teresa (Age: 69)",ltd,Not available,"£1,513,469.63",Not available,Cleaning,GB06407177
12611255,ABSOLUTE CLEANING SOLUTIONS (GBR) LTD,active,2020-05-19,81299,"1 Hutton Close, South Church Enterprise Park, Bishop Auckland, DL14 6XG, England","TELFORD, Dawn Marie (Age: 57)",ltd,Not available,"£2,232,533.30",Not available,Cleaning,GB12611255
15710572,ABSOLUTE CLEANING 247 LTD,active,2024-05-09,81229,"29a North Park Drive, Kettering, Northamptonshire, NN16 9JT, United Kingdom","DUVAL, Karen Ann (Age: 52)",ltd,Not available,"£648,211,098.57",Not available,Cleaning,GB15710572
4126800,ABSOLUTELY CLEANING SERVICES LIMITED,active,2000-12-18,74909,"Unit 24 Penn Hill Farm Business, Park Calne, Wiltshire, SN11 8RR","BELL, Margaret Elizabeth (Age: 61); BELL, Colin Richard (Age: 60)",ltd,Not available,"£800,605,208.84",Not available,Cleaning,GB04126800
11596158,ABSOLUTELY FABULOUS CLEANING LIMITED,active,2018-09-29,81299,"109 Tunnel Hill, Worcester, WR4 9SB, United Kingdom","WARNER, Elizabeth Frances (Age: 59)",ltd,Not available,"£18,943,602.38",Not available,Cleaning,GB11596158
16103615,AB SPARKS CLEANING & MAINTENANCE LTD,active,2024-11-26,81210,"Octavia House, 8 Homer Street, London, W1H 4NX, England","MIAH, Ibrahim (Age: 62)",ltd,Not available,"£2,172,729.76",Not available,Cleaning,GB16103615
11470319,AB WINDOW CLEANING LTD,active,2018-07-18,81221,"18 Gelert Avenue, Leicester, LE5 2NS, England","BILLSON, Antony David, Mr. (Age: 58)",ltd,Not available,"£44,074,064.12",Not available,Cleaning,GB11470319
13364150,A B WOOLLEY CLEANING SERVICES LIMITED,active,2021-04-28,81210,"206 Chester Road, Watford, WD18 0LJ, England","LARTEI, Mary Woolley (Age: 52); LARTEI, Abraham Woolley (Age: 54)",ltd,Not available,"£789,941,242.46",Not available,Cleaning,GB13364150
3486072,ACADEMY CLEANING & MAINTENANCE LIMITED,active,1997-12-24,96090,"241 Chertsey Road Academy House, Addlestone, Surrey, KT15 2EW","YURASZEK, Carol Ann (Age: 68); YURASZEK, Stephen (Age: 68)",ltd,Not available,"£7,587,071.21",Not available,Cleaning,GB03486072
7273925,ACADEMY CLEANING SERVICES (UK) LIMITED,active,2010-06-04,82990,"34 Serlby Lane, Harthill, Sheffield, S26 7YE","MORRIS, Michelle (Age: 59); JACOBS, Yomtov Eliezer (Age: 54)",ltd,Not available,"£913,769,342.15",Not available,Cleaning,GB07273925
15098963,AC&C SUPPORT CLEANING LTD,active,2023-08-28,81210,"Flat 2 Geneva Court, Manor Road, London, N16 5NX, England","DA GRACA ANTUNES, Carlos Manuel (Age: 50)",ltd,Not available,"£153,727,514.37",Not available,Cleaning,GB15098963
7370354,ACAP CLEANING SERVICES LTD,active,2010-09-09,81299,"1 Brewer Close, Basingstoke, Hampshire, RG22 6UL","ANDREEVA, Milena (Age: 58)",ltd,Not available,"£44,354,541.82",Not available,Cleaning,GB07370354
7572267,ACC CLEANING LTD,active,2011-03-21,81222,"The Lodge Three Beeches Perry Wood, Selling, Faversham, ME13 9SA","BRIDGE-WILKINSON, Robert (Age: 63)",ltd,Not available,"£630,439,498.93",Not available,Cleaning,GB07572267
15074224,ACC COMMERCIAL CLEANING LIMITED,active,2023-08-15,81299,"263b Boxley Road, Penenden Heath, Maidstone, ME14 2AL, England","LEIGH, Andrew (Age: 55)",ltd,Not available,"£490,027,496.04",Not available,Cleaning,GB15074224
5393965,ACCESS CLEANING AND MANAGEMENT SERVICES LIMITED,active,2005-03-16,81299,"Suite16 Beaufort Court, Admirals Way South Quay, Docklands, London, E14 9XL","DHANJAL, Gurminder (Age: 54); DHANJAL, Kulraj (Age: 53)",ltd,Not available,"£230,199,376.43",Not available,Cleaning,GB05393965
14670965,ACCESS CLEANING CONTRACTORS LIMITED,active,2023-02-17,81222,"Lower Farm, Edmondsham, Wimborne, BH21 5RD, England","ROBERTSON, Hilary Angela Elaine (Age: 61)",ltd,Not available,"£93,259,338.37",Not available,Cleaning,GB14670965
12871824,ACCESS CLEANING SERVICES LIMITED,active,2020-09-10,81210,"Room 4, Pearl Assurance House, Brook Street, Tavistock, Devon, PL19 0BN, England","SHAW, Mark Stephen (Age: 55)",ltd,Not available,"£4,189,061.49",Not available,Cleaning,GB12871824
3743050,ACCESS CLEANING SPECIALISTS LIMITED,active,1999-03-29,81210,"Access House, Hanson Street, Middleton, Manchester, M24 2HW","CARR, Denise (Age: 68); CARR, Michael (Age: 71); FORD, Gary (Age: 52)",ltd,Not available,"£11,146,144.18",Not available,Cleaning,GB03743050
